שנה א,Year_1,מטות,Matot,Bamidbar,המשך הלכות ברכת הנהנין,https://he.m.wikisource.org/wiki/%D7%91%D7%90%22%D7%97_%D7%A9%D7%A0%D7%94_%D7%A8%D7%90%D7%A9%D7%95%D7%A0%D7%94_%D7%9E%D7%98%D7%95%D7%AA
שנה א,Year_1,מסעי,Mase,Bamidbar,הלכות ברכה אחרונה,https://he.m.wikisource.org/wiki/%D7%91%D7%90%22%D7%97_%D7%A9%D7%A0%D7%94_%D7%A8%D7%90%D7%A9%D7%95%D7%A0%D7%94_%D7%9E%D7%A1%D7%A2%D7%99
שנה א,Year_1,דברים,Dvarim,Dvarim,הלכות תשעה באב,https://he.m.wikisource.org/wiki/%D7%91%D7%90%22%D7%97_%D7%A9%D7%A0%D7%94_%D7%A8%D7%90%D7%A9%D7%95%D7%A0%D7%94_%D7%93%D7%91%D7%A8%D7%99%D7%9D
שנה א,Year_1,ואתחנן,Vaethanan,Dvarim,הלכות ברכת הבשמים,https://he.m.wikisource.org/wiki/%D7%91%D7%90%22%D7%97_%D7%A9%D7%A0%D7%94_%D7%A8%D7%90%D7%A9%D7%95%D7%A0%D7%94_%D7%95%D7%90%D7%AA%D7%97%D7%A0%D7%9F
שנה א,Year_1,עקב,Ekev,Dvarim,הלכות ברכת הגומל ושאר ברכות,https://he.m.wikisource.org/wiki/%D7%91%D7%90%22%D7%97_%D7%A9%D7%A0%D7%94_%D7%A8%D7%90%D7%A9%D7%95%D7%A0%D7%94_%D7%A2%D7%A7%D7%91
שנה א,Year_1,ראה,Ree,Dvarim,הלכות ברכת ההודאה,https://he.m.wikisource.org/wiki/%D7%91%D7%90%22%D7%97_%D7%A9%D7%A0%D7%94_%D7%A8%D7%90%D7%A9%D7%95%D7%A0%D7%94_%D7%A8%D7%90%D7%94
שנה א,Year_1,שופטים,Shoftim,Dvarim,הלכות ארוסין ונשואין,https://he.m.wikisource.org/wiki/%D7%91%D7%90%22%D7%97_%D7%A9%D7%A0%D7%94_%D7%A8%D7%90%D7%A9%D7%95%D7%A0%D7%94_%D7%A9%D7%95%D7%A4%D7%98%D7%99%D7%9D
שנה א,Year_1,כי תצא,Kitetse,Dvarim,הלכות משקולות,https://he.m.wikisource.org/wiki/%D7%91%D7%90%22%D7%97_%D7%A9%D7%A0%D7%94_%D7%A8%D7%90%D7%A9%D7%95%D7%A0%D7%94_%D7%9B%D7%99_%D7%AA%D7%A6%D7%90
שנה א,Year_1,כי תבוא,Kitavo,Dvarim,הלכות השבת אבידה ושכר שכיר,https://he.m.wikisource.org/wiki/%D7%91%D7%90%22%D7%97_%D7%A9%D7%A0%D7%94_%D7%A8%D7%90%D7%A9%D7%95%D7%A0%D7%94_%D7%9B%D7%99_%D7%AA%D7%91%D7%90
שנה א,Year_1,ניצבים,Nitsavim,Dvarim,הלכות ראש השנה,https://he.m.wikisource.org/wiki/%D7%91%D7%90%22%D7%97_%D7%A9%D7%A0%D7%94_%D7%A8%D7%90%D7%A9%D7%95%D7%A0%D7%94_%D7%A0%D7%A6%D7%91%D7%99%D7%9D
